date,platform,code,name,type,nav,amount,shares,fee
2026-05-26,天天基金,110007,易方达稳健收益债券A,BUY,1.401,400.0,285.51,0.0
2026-05-20,天天基金,110007,易方达稳健收益债券A,BUY,1.4013,400.0,285.44,0.0
2026-06-30,天天基金,015453,中欧中证500指数增强A,BUY,1.6415,150.0,91.37,0.02
2026-06-30,天天基金,016452,南方纳斯达克100指数发起(QDII)A,BUY,2.2731,50.0,21.97,0.06
2026-06-30,天天基金,017641,摩根标普500指数(QDII)人民币A,BUY,1.6444,10.0,6.08,0.01
2026-06-30,天天基金,110007,易方达稳健收益债券A,BUY,1.3971,200.0,143.15,0.0
2026-06-30,天天基金,110020,易方达沪深300ETF联接A,BUY,1.9925,150.0,75.19,0.18
2026-06-30,天天基金,270042,广发纳斯达克100ETF联接人民币(QDII)A,BUY,8.1427,10.0,1.23,0.01
2026-06-29,天天基金,016452,南方纳斯达克100指数发起(QDII)A,BUY,2.2994,50.0,21.72,0.06
2026-06-29,天天基金,017641,摩根标普500指数(QDII)人民币A,BUY,1.6461,10.0,6.07,0.01
2026-06-29,天天基金,270042,广发纳斯达克100ETF联接人民币(QDII)A,BUY,8.2413,10.0,1.21,0.01
2026-06-26,天天基金,016452,南方纳斯达克100指数发起(QDII)A,BUY,2.2823,50.0,21.88,0.06
2026-06-26,天天基金,017641,摩根标普500指数(QDII)人民币A,BUY,1.6462,10.0,6.07,0.01
2026-06-26,天天基金,270042,广发纳斯达克100ETF联接人民币(QDII)A,BUY,8.1772,10.0,1.22,0.01
2026-06-25,天天基金,016452,南方纳斯达克100指数发起(QDII)A,BUY,2.2913,50.0,21.8,0.06
2026-06-25,天天基金,017641,摩根标普500指数(QDII)人民币A,BUY,1.6471,10.0,6.07,0.01
2026-06-25,天天基金,270042,广发纳斯达克100ETF联接人民币(QDII)A,BUY,8.2111,10.0,1.22,0.01
2026-06-24,天天基金,015453,中欧中证500指数增强A,BUY,1.6389,150.0,91.51,0.02
2026-06-24,天天基金,016452,南方纳斯达克100指数发起(QDII)A,BUY,2.3672,50.0,21.1,0.06
2026-06-24,天天基金,017641,摩根标普500指数(QDII)人民币A,BUY,1.6689,10.0,5.99,0.01
2026-06-24,天天基金,110020,易方达沪深300ETF联接A,BUY,1.9856,200.0,100.6,0.24
2026-06-24,天天基金,270042,广发纳斯达克100ETF联接人民币(QDII)A,BUY,8.49,10.0,1.18,0.01
2026-06-23,天天基金,110007,易方达稳健收益债券A,BUY,1.3938,200.0,143.49,0.0
2026-06-16,天天基金,110007,易方达稳健收益债券A,BUY,1.3896,400.0,287.85,0.0
2026-06-09,天天基金,110007,易方达稳健收益债券A,BUY,1.3868,400.0,288.43,0.0
2026-06-02,天天基金,110007,易方达稳健收益债券A,BUY,1.3982,400.0,286.08,0.0
2026-07-23,天天基金,019305,摩根标普500指数(QDII)人民币C,BUY,1.6566,10.0,6.04,0.0
2026-07-23,天天基金,017641,摩根标普500指数(QDII)人民币A,BUY,1.6718,10.0,5.98,0.01
2026-07-23,天天基金,270042,广发纳斯达克100ETF联接人民币(QDII)A,BUY,8.1057,5.0,0.62,0.01
2026-07-23,天天基金,016452,南方纳斯达克100指数发起(QDII)A,BUY,2.268,10.0,4.4,0.01
2026-07-22,天天基金,270042,广发纳斯达克100ETF联接人民币(QDII)A,BUY,7.9568,10.0,1.26,0.01
2026-07-22,天天基金,019305,摩根标普500指数(QDII)人民币C,BUY,1.6435,10.0,6.08,0.0
2026-07-22,天天基金,017641,摩根标普500指数(QDII)人民币A,BUY,1.6586,10.0,6.02,0.01
2026-07-22,天天基金,016452,南方纳斯达克100指数发起(QDII)A,BUY,2.2277,10.0,4.48,0.01
2026-07-21,天天基金,110020,易方达沪深300ETF联接A,BUY,1.876,150.0,79.86,0.18
2026-07-21,天天基金,110007,易方达稳健收益债券A,BUY,1.4056,200.0,142.28,0.0
2026-07-21,天天基金,016452,南方纳斯达克100指数发起(QDII)A,BUY,2.2264,10.0,4.49,0.01
2026-07-21,天天基金,015453,中欧中证500指数增强A,BUY,1.4022,150.0,106.82,0.22
